patch_id,patch_file,reachability,v1_defense,v1_reporting,v2_defense,v2_reporting,priority,review_state,notes
001,001-icAnsiToUtf8-null-termination.patch,xml-runtime,covered,covered,covered,covered,P0,verified,"V1 H29/H142/H144; V2 H142/H144; analyzer-owned XML prechecks and fork-isolated XML path"
002,002-gamutboundary-triangles-signed-overflow.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"V1 raw preflight plus H68/H30/H168; V2 preflight in ProfileView plus H168 raw reporting now cover the CFL-002 signed-overflow family even though H68 remains TODO"
004,004-ToneMapFunc-Read-parameter-count-validation.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned CIccToneMapFunc::Describe override in both; malformed tone-map params also surface through H101 checks"
005,005-calculatorfunc-read-enum-ubsan.patch,profile-runtime,partial,covered,partial,covered,P1,verified,"H151 exists in both; no broad pre-library quarantine identified for calculator op enum UB"
006,006-SpectralMatrix-Describe-iteration-bounds.patch,profile-runtime,partial,covered,covered,covered,P1,verified,"V1 intentionally gaps out on the named spectral PoC after structural preflight; V2 now adds spectral preflight quarantine plus raw H98 reporting for row-overflow and pointer-stride hazards, and parity normalizes the fixture as coverageImprovement"
007,007-TagArray-Read-overflow-guard.patch,profile-runtime,partial,covered,partial,covered,P0,verified,"V1 and V2 H168 now cover TagArray count×size overflow reporting; broader ownership/UAF siblings (H157/H159) remain separate partial/TODO work"
008,008-TagCurve-Apply-NaN-to-unsigned-UBSAN.patch,cmm-runtime,partial,partial,partial,partial,P1,inferred,"General curve NaN/range validation exists, but direct TagCurve Apply-path coverage is not yet fully verified in either engine"
009,009-envvar-exec-enum-ubsan.patch,profile-runtime,partial,partial,todo,todo,P2,inferred,"V1 has EnvVar and enum-range families, but no direct Exec-path mapping was verified; V2 equivalent not yet identified"
014,014-sequenceneedtempreset-recursion-depth.patch,cmm-runtime,partial,covered,partial,covered,P1,inferred,"Calculator depth/recursion heuristics exist in both; direct SequenceNeedTempReset path still needs explicit confirmation"
017,017-envvar-getEnvSig-parse-enum-ubsan.patch,xml-runtime,partial,partial,todo,todo,P2,inferred,"Sibling of EnvVar enum family; no V2 direct mapping verified"
019,019-pcc-getReflectanceObserver-null-guard.patch,profile-runtime,covered,covered,partial,partial,P0,verified,"V1 safe PCC summary and H103 path are explicit; V2 PCC safety/reporting is present but less directly hardened"
021,021-singlesampled-curve-oom-size-validation.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned H152 raw curve OOM scanner and library quarantine now implemented in both V1 and V2"
022,022-calc-trunc-floor-ceil-round-mod-int-overflow.patch,cmm-runtime,partial,covered,partial,covered,P0,verified,"H151 flags dangerous float-to-int operators in both V1 and V2"
023,023-sampled-curve-nan-to-unsigned-cast.patch,cmm-runtime,partial,covered,partial,covered,P1,verified,"H153 raw sampled-curve NaN/Inf/degenerate-range detection exists in both engines"
025,025-clut-interpnd-null-apply-guard.patch,cmm-runtime,partial,covered,partial,covered,P0,verified,"V1 and V2 H167 now cover null CLUT Apply path reporting; analyzer runtime still treats this CMM-time risk as raw reporting rather than global quarantine"
028,028-matrixmath-setrange-nan-guard.patch,profile-runtime,partial,partial,partial,partial,P2,inferred,"V1 references CFL-028 pattern in header/value validation; direct SetRange-path parity remains shallow"
029,029-tagarray-operator-eq-loop-var.patch,profile-runtime,partial,partial,todo,todo,P2,inferred,"General TagArray ownership and cleanup heuristics exist in V1; no direct V2 mapping verified"
030,030-fixednum-getvalues-sbo.patch,profile-runtime,partial,covered,partial,covered,P0,verified,"V1 H22 explicitly detects scalar NumArray misuse; V2 H146 covers GetValues stack-buffer-overflow family"
031,031-loadjsonfrom-ftell-overflow.patch,tool-only,oos,oos,oos,oos,OOS,verified,"CLI/config bug in IccJsonUtil; not reachable from analyzer ICC profile content"
032,032-icxforminterp-enum-range.patch,tool-only,oos,oos,oos,oos,OOS,verified,"CLI argument parsing bug; not analyzer-runtime reachable from ICC profile bytes"
033,033-pccweight-fromjson-field-swap.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool JSON/config bug; out of analyzer-runtime scope"
035,035-applycmmsearch-m_nApply-oob-clamp.patch,tool-only,oos,oos,oos,oos,OOS,inferred,"SearchApply optimization tool path is not part of normal V1/V2 analyzer runtime"
036,036-createlink-tojson-missing-linkgridsize.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Config serialization/data-loss bug; out of analyzer runtime"
038,038-searchapply-tojsoninit-missing-transform.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool config persistence bug; out of analyzer runtime"
040,040-fromit8-cmyk-missing-push-back.patch,tool-only,oos,oos,oos,oos,OOS,verified,"fromIt8 tool/parser bug; not profile-content reachable inside analyzers"
041,041-fromit8-lab-xyz-val4-oob.patch,tool-only,oos,oos,oos,oos,OOS,verified,"fromIt8 tool/parser bug; not analyzer profile runtime"
042,042-parsenumbers-n-vs-newline-typo.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool-side parser bug; out of analyzer scope"
043,043-tool-tojson-is-object-vs-is-array.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool JSON shape bug; not analyzer-runtime reachable"
044,044-ndlut-apply-missing-interp-dispatch.patch,cmm-runtime,partial,partial,todo,todo,P2,inferred,"CMM transform dispatch family; no direct V2 heuristic/conformance mapping verified"
045,045-addxform-null-pcs-guard.patch,cmm-runtime,partial,partial,todo,todo,P2,inferred,"V1 copy/null-PCS families exist, but direct AddXform null-PCS coverage still needs explicit mapping; V2 H170 remains TODO"
046,046-pcs-step-src-matrix-delete-array.patch,cmm-runtime,partial,covered,partial,covered,P1,verified,"V1 and V2 H157 now cover alloc/dealloc mismatch trigger families (TagArray, NamedColor2, curf); runtime defense remains partial because this is reported structurally rather than quarantined globally"
047,047-pushXYZNormalize-null-pcc-guard.patch,cmm-runtime,partial,covered,partial,partial,P2,inferred,"PCC-safe handling exists in V1 and partially in V2, but direct pushXYZNormalize path is not yet isolated as its own analyzer family"
048,048-dumplut-iterate-missing-bufsize.patch,profile-runtime,partial,partial,todo,todo,P2,inferred,"Describe/LUT safety family is only partially mapped today"
049,049-mbb-describe-btoa-missing-buselegacy.patch,profile-runtime,partial,partial,todo,todo,P2,inferred,"Legacy dump/describe path family not yet directly mirrored in V2 heuristics"
050,050-formulacurve-describe-param-bounds.patch,profile-runtime,partial,covered,todo,todo,P0,verified,"V1 exploit-gap scanner covers formula-curve parameter sufficiency; V2 lacks an equivalent formula-segment port"
051,051-parametriccurve-describe-param-bounds.patch,profile-runtime,partial,covered,partial,covered,P1,verified,"V1 exploit-gap and conformance checks cover param counts; V2 has parametric-curve checks but not the full V1 exploit-gap breadth"
052,052-fromit8-wrong-index-variable.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool-side parser bug; out of analyzer scope"
053,053-formulacurve-describe-format-specifiers.patch,profile-runtime,partial,partial,todo,todo,P3,inferred,"Describe-format bug family is not yet explicitly modeled in V1/V2"
054,054-parametriccurve-describe-format-specifiers.patch,profile-runtime,partial,partial,todo,todo,P3,inferred,"Describe-format bug family is not yet explicitly modeled in V1/V2"
055,055-fromit8-signed-unsigned-mismatch.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool/parser bug; not analyzer profile runtime"
056,056-spectral-describe-null-pointer-guards.patch,profile-runtime,partial,covered,covered,covered,P1,verified,"V1 intentionally gaps out on the named spectral PoC after structural preflight; V2 now adds spectral preflight quarantine plus raw H98 reporting for truncated white+matrix payload hazards, and parity normalizes the fixture as coverageImprovement"
057,057-searchapply-uninitialized-members.patch,tool-only,oos,oos,oos,oos,OOS,verified,"SearchApply constructor bug is tool/config scope, not analyzer runtime"
058,058-EmbedIO-size-signed-unsigned-ubsan.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned CIccEmbedIO override plus H96 raw fingerprint/quarantine in both engines"
059,059-TagCurve-Begin-nMaxIndex-underflow.patch,profile-runtime,partial,partial,todo,todo,P2,inferred,"General curve/LUT validation exists, but direct Begin-path mapping is not yet verified"
060,060-icGetSigStr-left-shift-overflow-ubsan.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned safe overrides and H173 reporting in both V1 and V2"
061,061-icF16toF-unsigned-underflow-ubsan.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned safe half-float override and H174 reporting/quarantine in both V1 and V2"
062,062-icGetSig-implicit-char-conversion-ubsan.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned safe signature-formatting override and H173 reporting in both engines"
063,063-bounds-check-unsigned-overflow-ubsan.patch,profile-runtime,partial,covered,partial,partial,P0,verified,"V1/V2 cover the MPE offset/size subset via H101 and preflight; broader offset+size families still need expansion"
064,064-segmented-curve-subtraction-underflow-ubsan.patch,profile-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned H152 raw scan and library quarantine now cover segmented-curve underflow in both V1 and V2"
065,065-taglut-nEnd-subtraction-underflow-ubsan.patch,profile-runtime,partial,partial,todo,todo,P1,inferred,"LUT/tag-end underflow families are not yet explicitly mirrored in V2"
066,066-IccUtilXml-bitmask-signed-conversion-ubsan.patch,xml-runtime,covered,covered,covered,covered,P0,verified,"Analyzer-owned icGetHeaderFlagsName override in both engines; XML reporting remains active"
067,067-icIsS15Fixed16NumberNear-float-overflow-ubsan.patch,profile-runtime,covered,covered,covered,partial,P1,verified,"Analyzer-owned D50 fixed-point helper override in both engines; V1 H103/PCC reporting is explicit, V2 equivalent reporting is less direct"
068,068-MpeCurveSet-operator-eq-self-assignment.patch,profile-runtime,todo,todo,todo,todo,P3,inferred,"Correctness hardening in MPE copy/assign paths; no current analyzer mapping identified"
069,069-operator-eq-self-assignment-guards.patch,profile-runtime,todo,todo,todo,todo,P3,inferred,"Correctness hardening for operator= self-assignment; analyzer mapping not yet identified"
070,070-missing-member-copies-operator-eq-copyctor.patch,profile-runtime,todo,todo,todo,todo,P3,inferred,"Copy/assign completeness hardening; currently outside explicit H/CF coverage"
071,071-uninit-default-ctor-members.patch,profile-runtime,todo,todo,todo,todo,P3,inferred,"Default-constructor initialization hardening; no explicit analyzer mapping identified"
072,072-printf-format-unused-fn.patch,profile-runtime,partial,partial,partial,partial,P3,inferred,"Low-priority describe/format cleanup; hostile-profile parity mapping not yet established"
073,073-IccProfileXml-implicit-fallthrough.patch,xml-runtime,partial,partial,partial,partial,P3,inferred,"XML runtime correctness patch; H142 covers the path broadly but not this site explicitly"
074,074-IccUtilXml-clipTypeRange-if-constexpr.patch,xml-runtime,partial,partial,partial,partial,P3,inferred,"XML helper correctness patch; analyzer XML coverage is broad but not site-specific here"
075,075-IccCmmConfig-uninit-format-fixes.patch,tool-only,oos,oos,oos,oos,OOS,verified,"Tool/config correctness patch; out of analyzer runtime"
