id	status	implementation	v1_name	v2_name	v2_file	note
1	rename	implemented	Profile Size	Profile Size Validation	HeaderChecks.cpp	same check; cosmetic rename
2	rename	implemented	Magic Bytes	Magic Number Validation	HeaderChecks.cpp	same check; cosmetic rename
3	collision	implemented	Color Space Signature	Version Validation	HeaderChecks.cpp	same-number collision; V2 added version header check at H3
4	collision	implemented	PCS Color Space	Device Class Validation	HeaderChecks.cpp	same-number collision; V2 device class check likely belongs near V1 H7
5	collision	implemented	Platform/CMM/Manufacturer/Creator	Color Space Validation	HeaderChecks.cpp	same-number collision; V2 color space check overlaps V1 H3/H5 concerns
6	collision	implemented	Rendering Intent	PCS Validation	HeaderChecks.cpp	same-number collision; V2 PCS check likely aligns with V1 H4
7	collision	implemented	Profile Class	Rendering Intent Validation	HeaderChecks.cpp	same-number collision; V2 rendering intent check likely aligns with V1 H6
8	collision	implemented	Illuminant XYZ	PCS Illuminant D50 Validation	HeaderChecks.cpp	same-number collision; V2 illuminant check likely aligns with V1 H8
9	collision	implemented	Critical Text Tags	Tag Count Validation	TagValidationChecks.cpp	same-number collision; V2 tag-count logic likely belongs near V1 H10
10	collision	implemented	Tag Count	Tag Offset/Size Bounds	TagValidationChecks.cpp	same-number collision; V2 bounds logic overlaps V1 H13/H25
11	collision	implemented	CLUT Entry Limit	Duplicate Tag Detection	TagValidationChecks.cpp	same-number collision; V2 duplicate-tag logic is closer to V1 H135
12	collision	implemented	MPE Chain Depth	Tag Alignment Validation	TagValidationChecks.cpp	same-number collision; V2 alignment logic is closer to V1 H130/H40
13	collision	implemented	Per Tag Size Check	Required Tags Per Class	TagValidationChecks.cpp	same-number collision; V2 required-tags-per-class has no same-number V1 heuristic
14	collision	implemented	Tag Array Detection	Tag Type Signature Validation	TagValidationChecks.cpp	same-number collision; V2 tag-type-signature logic is closer to V1 H20
15	rename	implemented	Date Validation	Creation Date/Time Validation	HeaderChecks.cpp	same check; cosmetic rename
16	collision	implemented	Signature Patterns	Primary Platform Validation	HeaderChecks.cpp	same-number collision; V2 platform validation is closer to V1 H5
17	collision	implemented	Spectral Range	Spectral PCS Validation	HeaderChecks.cpp	same-number collision; V2 spectral PCS check does not match V1 spectral-range heuristic
18	exact	implemented	Technology Signature	Technology Signature	TagValidationChecks.cpp	
19	rename	implemented	Tag Offset Overlap	Tag Overlap Detection	TagValidationChecks.cpp	same check; cosmetic rename
20	exact	implemented	Tag Type Signature	Tag Type Signature	TagValidationChecks.cpp	top-level tag type bytes validated; null and non-ASCII type signatures reported
21	exact	implemented	Tag Struct Member Inspection	Tag Struct Member Inspection	TagValidationChecks.cpp	
22	exact	implemented	Num Array Scalar Expectation	Num Array Scalar Expectation	TagValidationChecks.cpp	
